entry,Pointcloud_Map_ID,Pointcloud,row_num,MOD,depth,rot,timestamp,row_bc,depth_bc,rot_bc,Band_1_bc,Band_2_bc,Band_3_bc,Band_4_bc,Band_5_bc,Band_6_bc,Band_7_bc,Band_8_bc,Band_9_bc,Band_10_bc,Band_11_bc,Band_12_bc,Band_13_bc,Band_14_bc,Band_15_bc,Band_16_bc,Band_17_bc,Band_18_bc,Band_19_bc,Band_20_bc,Band_21_bc,Band_22_bc,Band_23_bc,Band_24_bc,Band_25_bc,Band_26_bc,Band_27_bc,Band_28_bc,Band_29_bc,Band_30_bc,Band_31_bc,Band_32_bc,Band_1_std1_MAX_SDT,Band_2_std1_MAX_SDT,Band_3_std1_MAX_SDT,Band_4_std1_MAX_SDT,Band_5_std1_MAX_SDT,Band_6_std1_MAX_SDT,Band_7_std1_MAX_SDT,Band_8_std1_MAX_SDT,Band_9_std1_MAX_SDT,Band_10_std1_MAX_SDT,Band_11_std1_MAX_SDT,Band_12_std1_MAX_SDT,Band_13_std1_MAX_SDT,Band_14_std1_MAX_SDT,Band_15_std1_MAX_SDT,Band_16_std1_MAX_SDT,Band_17_std1_MAX_SDT,Band_18_std1_MAX_SDT,Band_19_std1_MAX_SDT,Band_20_std1_MAX_SDT,Band_21_std1_MAX_SDT,Band_22_std1_MAX_SDT,Band_23_std1_MAX_SDT,Band_24_std1_MAX_SDT,Band_25_std1_MAX_SDT,Band_26_std1_MAX_SDT,Band_27_std1_MAX_SDT,Band_28_std1_MAX_SDT,Band_29_std1_MAX_SDT,Band_30_std1_MAX_SDT,Band_31_std1_MAX_SDT,Band_32_std1_MAX_SDT
11,16,Pointcloud_2019_07_04_10_59_16,21,1,89.235,4,3645082622.465,21,89.235,4,0,0,25.6477428571429,0,0,3.6088,11.5482857142857,131.322085714286,122.167371428571,87.1178285714286,79.6715428571429,116.2424,99.8710857142858,0,64.9388857142856,7.08268571428573,0,0,20.6330857142857,7.8411142857143,93.4450857142857,82.8516857142857,65.0305714285714,47.6699428571428,0,0,65.6444285714287,77.8349714285715,6.11220000000003,56.3822857142857,47.2374,80.5988857142856,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
12,16,Pointcloud_2019_07_04_10_59_16,23,1,89.233,4,3645082622.49,23,89.233,4,26.8749714285714,20.8456,0,0.762971428571426,34.136,4.6096,0,11.3461714285714,70.2267428571429,138.211657142857,84.7390857142857,0,74.9541714285715,114.1056,0,12.1213714285715,43.3969142857144,0,0,0,59.4621714285714,10.8693714285714,0,35.6918857142857,17.2578285714286,48.7730285714285,0,21.8459428571429,12.1224,0,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
13,16,Pointcloud_2019_07_04_10_59_16,25,1,89.232,4,3645082622.514,25,89.232,4,0,0,0,0,0,0,0,96.3702571428572,121.286114285714,5.30548571428562,125.806628571429,40.3591999999999,158.037257142857,78.1643999999999,9.0446571428572,0,0,15.3666000000001,68.6832571428571,116.895342857143,68.4792571428571,67.8870571428572,88.0517142857143,0,3.27574285714286,71.7755428571429,0,0,0,0,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
14,16,Pointcloud_2019_07_04_10_59_16,27,1,89.23,4,3645082622.539,27,89.23,4,21.8779428571429,4.8532,0,0,4.142,13.6112,8.57314285714284,86.3943428571429,88.3454857142858,115.399314285714,54.8741714285716,40.4176,38.1203428571428,50.2231999999999,41.0975428571428,0,22.4678285714286,58.3948,119.708342857143,101.922457142857,75.4963428571429,78.9047428571429,46.0622857142857,0,45.2936571428571,79.7780571428572,11.6877142857144,26.8678857142858,28.1428,66.3891428571428,83.2476,10.6375428571429,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
15,16,Pointcloud_2019_07_04_10_59_16,29,1,89.253,5,3645082622.563,29,89.253,5,22.8794285714286,7.857,26.6547142857143,1.76442857142857,0,0.611999999999995,56.5814285714286,108.418428571429,0,0,122.941714285714,21.4759999999999,184.203428571429,28.2819999999999,0,0,0,76.423,11.7334285714286,8.9495714285714,53.5134285714286,44.9224285714286,17.0728571428572,2.75771428571431,70.3115714285715,71.7805714285714,19.7021428571429,0,116.153,58.3914285714286,0,74.6504285714285,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
16,16,Pointcloud_2019_07_04_10_59_16,31,1,89.251,5,3645082622.587,31,89.251,5,0,0,8.65645714285714,2.76491428571428,8.148,8.61280000000001,3.58971428571428,50.4425142857143,112.464228571429,88.5869714285714,0,135.5344,219.286514285714,18.3407999999999,0,67.2761142857142,11.5387428571429,0,21.7585142857142,0,0,24.9401142857143,0,34.7796571428571,22.3294857142857,0,0,54.8898285714287,12.1632,0,4.25440000000003,2.66331428571425,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
17,16,Pointcloud_2019_07_04_10_59_16,33,1,89.25,5,3645082622.612,33,89.25,5,22.8824,33.8646,29.6582,17.7654,0,25.6136,3.59799999999998,47.4666,6.52359999999999,99.6808000000001,116.0768,108.5928,61.3696,5.39959999999996,0,0,0,0,8.78359999999998,77.0038000000001,88.5476,46.9578,0,31.8016,14.3474,42.7856,0,0,18.1734,137.396,12.2578,33.6762,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
18,16,Pointcloud_2019_07_04_10_59_16,35,1,89.248,5,3645082622.636,35,89.248,5,0,0,23.6599428571429,0,0,22.6144,41.6062857142857,94.4906857142858,109.582971428571,136.774628571429,120.144342857143,64.6512,251.452685714286,126.4584,0,0,0,26.5076,105.808685714286,69.0309142857143,150.564685714286,20.9754857142857,26.1045714285715,46.8235428571428,9.36531428571425,0,0,43.9117714285715,0,56.3982857142858,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
19,16,Pointcloud_2019_07_04_10_59_16,37,1,89.247,4,3645082622.66,37,89.247,4,8.88537142857143,22.8722,9.66168571428571,30.7663714285714,21.157,0,6.61457142857142,75.5147714285714,0,0,18.2118857142857,0,198.535771428571,71.5172,9.36197142857145,100.392171428571,18.6451142857144,0,50.8337714285714,0,94.5817714285714,9.99317142857149,21.1151428571429,153.845485714286,181.383228571429,65.7906285714286,45.7598571428572,84.9227428571429,124.1938,67.4005714285714,30.2646,46.7019714285714,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
20,16,Pointcloud_2019_07_04_10_59_16,39,1,89.245,4,3645082622.686,39,89.245,4,1.88685714285715,0,9.66342857142857,17.7668571428571,0,0,13.6228571428571,105.538857142857,140.701714285714,68.9622857142856,139.279428571429,120.768,52.6188571428572,63.576,13.414857142857,0,0,58.5640000000001,63.8588571428571,23.0851428571428,27.5988571428571,135.010857142857,0,0,21.4011428571429,139.793142857143,81.7742857142857,0,126.204,66.4028571428571,18.268,114.714857142857,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
21,16,Pointcloud_2019_07_04_10_59_16,41,1,89.244,4,3645082622.71,41,89.244,4,4.88834285714286,0,18.6651714285714,14.7673428571429,3.163,0,11.6311428571429,14.5629428571428,24.7610857142859,96.0561142857143,34.3469714285716,88.8263999999999,120.701942857143,0,35.4677428571429,0,0,88.5922000000001,3.88394285714287,0,0,0,32.1362857142858,0,0,0,52.7887142857144,0,63.2142,0,0,14.7277428571429,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
22,16,Pointcloud_2019_07_04_10_59_16,43,1,89.242,4,3645082622.734,43,89.242,4,0.889828571428573,0,0,0,0,0,15.6394285714286,130.587028571429,140.820457142857,56.1499428571428,93.4145142857144,97.8848,0,106.6936,0,0,8.75148571428576,115.6204,67.9090285714285,78.1393714285715,91.6330285714286,0,0,0,23.4369714285714,92.7981714285714,0,48.9556571428572,0,0,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
23,16,Pointcloud_2019_07_04_10_59_16,45,1,89.264,5,3645082622.759,45,89.264,5,0.891314285714287,0,1.66865714285714,0,0,0,13.6477142857143,79.6111142857143,78.8798285714286,85.2437714285713,122.482057142857,0,104.868114285714,24.7523999999999,0,55.5469142857143,0,58.6486,44.9341142857143,14.1664857142857,0,64.0639142857143,32.1574285714286,0,0,0,0,39.9666285714286,0,0,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
24,16,Pointcloud_2019_07_04_10_59_16,47,1,89.263,5,3645082622.783,47,89.263,5,29.8928,19.8912,13.6704,8.7688,0,0,6.65600000000001,0,18.9392,0,0,97.0016000000001,158.9512,128.8112,85.6263999999999,0,24.8224,47.6768000000001,28.9592,11.1936000000001,128.6672,42.0816,84.168,0,45.4728,23.8032000000001,0,0,5.2448,63.412,45.2816,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
25,16,Pointcloud_2019_07_04_10_59_16,49,1,89.261,5,3645082622.809,49,89.261,5,12.8942857142857,4.895,0,9.76928571428572,0,0,11.6642857142857,56.6592857142857,69.9985714285715,42.4314285714286,92.6171428571429,55.0599999999999,117.034285714286,86.8699999999999,99.6792857142857,0.624285714285747,0,0,118.984285714286,70.2207142857143,126.684285714286,0,109.178571428571,0,0,0,17.8464285714286,51.9885714285715,12.255,80.4142857142857,7.28499999999997,1.77928571428572,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
